path,category,reason,width,height,mode,file_size_kb
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711618677253.jpg,HEALTHY,exact_duplicate_of:1711618630845.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711618713528.jpg,HEALTHY,exact_duplicate_of:1711618581856.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711618954993.jpg,HEALTHY,exact_duplicate_of:1711618894607.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711618979786.jpg,HEALTHY,exact_duplicate_of:1711618920889.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711618996229.jpg,HEALTHY,exact_duplicate_of:1711618938582.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619204577.jpg,HEALTHY,exact_duplicate_of:1711619187394.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619244532.jpg,HEALTHY,exact_duplicate_of:1711619209605.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619371929.jpg,HEALTHY,exact_duplicate_of:1711619325471.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619361205.jpg,HEALTHY,exact_duplicate_of:1711619312119.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619337751.jpg,HEALTHY,exact_duplicate_of:1711619300978.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619420174.jpg,HEALTHY,exact_duplicate_of:1711619385123.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619629800.jpg,HEALTHY,exact_duplicate_of:1711619614894.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619711919.jpg,HEALTHY,exact_duplicate_of:1711619494333.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619699275.jpg,HEALTHY,exact_duplicate_of:1711619480821.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619725760.jpg,HEALTHY,exact_duplicate_of:1711619521409.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619800956.jpg,HEALTHY,exact_duplicate_of:1711619758907.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619774353.jpg,HEALTHY,exact_duplicate_of:1711619758907.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619813476.jpg,HEALTHY,exact_duplicate_of:1711619743793.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619844852.jpg,HEALTHY,exact_duplicate_of:1711619859633.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619904785.jpg,HEALTHY,exact_duplicate_of:1711619859633.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619917666.jpg,HEALTHY,exact_duplicate_of:1711619874146.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619930865.jpg,HEALTHY,exact_duplicate_of:1711619829491.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711619945845.jpg,HEALTHY,exact_duplicate_of:1711619889055.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711620027635.jpg,HEALTHY,exact_duplicate_of:1711619987058.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711620108490.jpg,HEALTHY,exact_duplicate_of:1711620090107.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711620424915.jpg,HEALTHY,exact_duplicate_of:1711620369459.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711620514461.jpg,HEALTHY,exact_duplicate_of:1711620496646.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711620642545.jpg,HEALTHY,exact_duplicate_of:1711620586276.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711620604977.jpg,HEALTHY,exact_duplicate_of:1711620659145.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711620676796.jpg,HEALTHY,exact_duplicate_of:1711620620908.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711620724486.jpg,HEALTHY,exact_duplicate_of:1711620688084.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711620939749.jpg,HEALTHY,exact_duplicate_of:1711620911038.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711621242728.jpg,HEALTHY,exact_duplicate_of:1711621210787.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711621355982.jpg,HEALTHY,exact_duplicate_of:1711621313133.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711621600102.jpg,HEALTHY,exact_duplicate_of:1711621122855.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711621622658.jpg,HEALTHY,exact_duplicate_of:1711621139750.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711621645427.jpg,HEALTHY,exact_duplicate_of:1711621594342.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711621659218.jpg,HEALTHY,exact_duplicate_of:1711621614487.jpg,,,,
