model,file,tflite_ok,size_mb,input_size_px,lat_mean_ms,lat_std_ms,val_status
bouncer,bouncer_model.tflite,True,16.04,224,9.93,0.16,ok
student,student_model.tflite,True,13.75,224,52.76,0.84,ok
