phase,epoch,train_loss,val_loss,sil_mIoU,sil_dice,sil_recall,sym_mIoU,sym_dice,cls_acc,msv_f1,msv_f1_early,msv_f1_mid,msv_f1_severe,mln_f1,macro_f1,mcc,sev_mae,sev_mse,sev_rmse,sev_mape,sev_r2,sev_pearson,composite
2,1,-3.8817,-2.14572,0.9194,0.958,0.9497,0.6736,0.8049,0.9824,0.9771,0.831,0.8433,0.9806,0.9801,0.9813,0.9726,5.01,101.8,10.09,2911219.09,0.8931,0.9498,0.9093
2,2,-4.24572,-2.7815,0.9202,0.9584,0.9488,0.6855,0.8134,0.9827,0.9724,0.7866,0.7647,0.9711,0.9802,0.9809,0.9732,4.95,93.67,9.68,3126131.22,0.9017,0.9498,0.8925
2,3,-4.37642,-2.68615,0.9214,0.9591,0.9524,0.6878,0.8151,0.9832,0.9778,0.8277,0.8308,0.9811,0.9809,0.9822,0.9739,4.78,85.15,9.23,6751983.16,0.9106,0.9573,0.9086
2,4,-4.46579,-2.62459,0.9223,0.9596,0.9527,0.6926,0.8184,0.9845,0.9777,0.8331,0.8318,0.9819,0.9827,0.9832,0.9758,4.68,85.08,9.22,3837401.51,0.9107,0.9553,0.9105
2,5,-4.53108,-2.82758,0.9219,0.9594,0.9526,0.6768,0.8072,0.9866,0.9809,0.8608,0.862,0.9851,0.9859,0.9856,0.9791,4.91,100.1,10.0,2369505.32,0.8949,0.9465,0.9194
2,6,-4.57938,-2.84968,0.9221,0.9595,0.9505,0.6917,0.8177,0.9865,0.9812,0.8721,0.8817,0.9857,0.9851,0.9855,0.979,4.57,76.77,8.76,9898005.0,0.9194,0.9595,0.9239
2,7,-4.63461,-2.9632,0.9219,0.9594,0.952,0.6931,0.8187,0.9867,0.9815,0.8498,0.8511,0.9837,0.9851,0.9857,0.9793,4.31,74.83,8.65,4450155.23,0.9214,0.96,0.9165
2,8,-4.65666,-2.98352,0.9235,0.9602,0.9505,0.6968,0.8213,0.9884,0.9836,0.877,0.8773,0.9874,0.9874,0.9875,0.9819,4.25,75.57,8.69,2954680.43,0.9207,0.9609,0.9257
2,9,-4.7149,-2.9614,0.9236,0.9603,0.9515,0.6945,0.8197,0.9867,0.9824,0.8782,0.8739,0.9875,0.9851,0.9859,0.9793,4.23,79.0,8.89,1818651.44,0.9171,0.9589,0.9254
2,10,-4.72384,-3.06386,0.9239,0.9605,0.9532,0.698,0.8221,0.989,0.9849,0.8846,0.8896,0.9883,0.9881,0.9882,0.9828,4.22,71.41,8.45,1891932.0,0.925,0.9626,0.9288
2,11,-4.77731,-3.09747,0.9244,0.9607,0.9518,0.699,0.8228,0.9879,0.9845,0.8874,0.8935,0.9887,0.9864,0.9872,0.9811,4.14,70.34,8.39,9192288.42,0.9261,0.9625,0.9298
2,12,-4.83355,-3.11628,0.9244,0.9607,0.9543,0.7027,0.8254,0.9896,0.985,0.8843,0.8966,0.9889,0.9891,0.9888,0.9839,3.95,68.7,8.29,3848571.83,0.9279,0.9637,0.9301
2,13,-4.84233,-3.05997,0.9249,0.961,0.9537,0.7017,0.8247,0.9889,0.9843,0.8813,0.8901,0.9876,0.988,0.9881,0.9828,3.99,70.31,8.39,2094963.99,0.9262,0.9632,0.9288
2,14,-4.87334,-3.22984,0.9247,0.9609,0.9538,0.7024,0.8252,0.9892,0.9839,0.8681,0.875,0.9867,0.9884,0.9882,0.9831,4.05,67.7,8.23,3425400.03,0.9289,0.9642,0.9245
2,15,-4.95252,-3.11522,0.926,0.9616,0.9536,0.7032,0.8258,0.9893,0.9859,0.897,0.9075,0.9903,0.9883,0.9887,0.9834,4.01,68.74,8.29,2911516.94,0.9278,0.9644,0.9343
2,16,-4.96358,-3.14672,0.9257,0.9614,0.9536,0.7049,0.8269,0.9903,0.9863,0.892,0.9105,0.9905,0.9898,0.9896,0.985,4.03,67.56,8.22,2865868.84,0.9291,0.965,0.9337
2,17,-4.97563,-3.22363,0.9257,0.9614,0.9543,0.706,0.8277,0.9903,0.9865,0.8948,0.9093,0.9905,0.9899,0.9896,0.9849,3.97,66.41,8.15,2535179.25,0.9303,0.9653,0.9342
2,18,-5.03572,-3.20577,0.9262,0.9617,0.9541,0.7066,0.8281,0.9902,0.9861,0.8918,0.9053,0.9901,0.9897,0.9895,0.9847,3.84,64.95,8.06,3698343.68,0.9318,0.9659,0.9335
2,19,-5.04579,-3.236,0.9264,0.9618,0.9542,0.7072,0.8285,0.9901,0.9865,0.8931,0.9057,0.99,0.9895,0.9895,0.9846,3.85,64.13,8.01,4667974.46,0.9327,0.9662,0.9338
2,20,-5.02452,-3.24672,0.9264,0.9618,0.9536,0.7071,0.8284,0.9902,0.9866,0.8964,0.9103,0.9906,0.9897,0.9896,0.9848,3.83,64.05,8.0,2921108.73,0.9327,0.9662,0.935
