epoch,train_loss,val_loss,accuracy,maize_prec,maize_rec,maize_f1,specificity,lr
1,0.01827,0.0015,0.9995,0.9994,0.9996,0.9995,0.9994,0.0001236
2,0.0063,0.00138,0.9998,0.9996,1.0,0.9998,0.9996,0.0001196
3,0.00368,0.00193,0.9993,0.9994,0.9992,0.9993,0.9994,0.0001132
4,0.00446,0.00205,0.9994,0.999,0.9998,0.9994,0.999,0.0001045
5,0.0026,0.00099,0.9997,0.9998,0.9996,0.9997,0.9998,9.4e-05
6,0.00347,0.00233,0.9995,0.9992,0.9998,0.9995,0.9992,8.22e-05
7,0.00177,0.00043,0.9998,0.9998,0.9998,0.9998,0.9998,6.95e-05
