phase,epoch,train_loss,val_loss,sil_mIoU,sil_dice,sil_recall,sym_mIoU,sym_dice,cls_acc,msv_f1,msv_f1_early,msv_f1_mid,msv_f1_severe,mln_f1,macro_f1,mcc,sev_mae,sev_mse,sev_rmse,sev_mape,sev_r2,sev_pearson,composite
2,6,-3.32334,-1.34454,0.9296,0.9635,0.9544,0.6949,0.82,0.9909,0.9872,0.8947,0.9067,0.9907,0.9908,0.9903,0.9859,8.01,299.32,17.3,88.17,0.6857,0.9085,0.9316
2,7,-3.39404,-1.52643,0.9305,0.964,0.9562,0.7006,0.8239,0.9887,0.9846,0.8766,0.8708,0.9864,0.988,0.988,0.9824,7.6,259.59,16.11,155.22,0.7274,0.9185,0.9245
2,8,-3.41723,-1.50174,0.9298,0.9636,0.9551,0.6966,0.8212,0.9905,0.9871,0.8967,0.8997,0.99,0.9898,0.9899,0.9852,7.85,284.8,16.88,96.88,0.701,0.8892,0.9313
2,9,-3.44876,-1.53662,0.9303,0.9639,0.9552,0.6976,0.8219,0.9896,0.9834,0.8651,0.8651,0.9861,0.9888,0.9885,0.9838,7.57,255.54,15.99,147.1,0.7317,0.9123,0.9217
2,10,-3.45555,-1.45835,0.9299,0.9637,0.9553,0.6987,0.8226,0.9901,0.9886,0.9092,0.9117,0.9912,0.9892,0.9898,0.9847,7.9,287.74,16.96,85.65,0.6979,0.9135,0.935
2,11,-3.475,-1.57739,0.9308,0.9642,0.9544,0.7008,0.8241,0.9908,0.9859,0.8831,0.8828,0.9875,0.99,0.9899,0.9856,7.45,245.24,15.66,79.62,0.7425,0.9225,0.9276
2,12,-3.50044,-1.4717,0.9311,0.9643,0.9562,0.7015,0.8245,0.9922,0.9888,0.912,0.9238,0.9921,0.9921,0.9917,0.9879,7.49,249.05,15.78,75.09,0.7385,0.9116,0.9381
2,13,-3.53159,-1.61696,0.93,0.9637,0.9552,0.692,0.818,0.9923,0.9888,0.9052,0.9146,0.9911,0.9923,0.9917,0.988,7.26,237.8,15.42,70.32,0.7503,0.9092,0.9357
2,14,-3.97294,-1.97218,0.9309,0.9642,0.9561,0.7034,0.8259,0.9922,0.9889,0.9055,0.9126,0.991,0.9922,0.9917,0.9879,4.64,108.33,10.41,49618.76,0.8863,0.9466,0.9385
2,15,-4.2081,-1.91868,0.9303,0.9639,0.956,0.7026,0.8253,0.9922,0.9889,0.9083,0.9212,0.9918,0.9921,0.9917,0.9879,4.46,103.78,10.19,152.33,0.891,0.9486,0.9399
2,16,-4.26473,-1.98092,0.9311,0.9643,0.9551,0.7023,0.8251,0.9926,0.9896,0.9122,0.9216,0.9918,0.9926,0.9921,0.9885,4.54,103.48,10.17,223.06,0.8914,0.9486,0.941
2,17,-4.30999,-2.09173,0.9311,0.9643,0.9556,0.7042,0.8264,0.9925,0.9891,0.9103,0.9202,0.9917,0.9923,0.9919,0.9883,4.61,101.38,10.07,30001.06,0.8936,0.9502,0.9404
2,18,-4.32015,-2.06888,0.9312,0.9644,0.9555,0.7038,0.8262,0.9928,0.9894,0.9106,0.9194,0.9918,0.9928,0.9922,0.9888,4.53,100.48,10.02,31149.92,0.8945,0.9502,0.9405
2,19,-4.34468,-2.06731,0.9311,0.9643,0.9556,0.7039,0.8262,0.9926,0.9893,0.9112,0.9214,0.9917,0.9926,0.992,0.9885,4.39,98.31,9.91,41921.21,0.8968,0.951,0.9409
2,20,-4.34311,-2.06702,0.9311,0.9643,0.9556,0.7036,0.826,0.9927,0.9894,0.9134,0.9232,0.992,0.9926,0.9921,0.9886,4.53,100.67,10.03,16970.19,0.8943,0.9506,0.9414
